date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:07:28	97/97	---MCZ	200	added ('OK')	text/plain	date:Sun,%2003%20Oct%202021%2016:22:23%20GMT	https://mentorcruise.com/robots.txt		(from )
17:07:31	88479/88479	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Oct%202021%2017:07:28%20GMT	https://mentorcruise.com/mentor/JakeStaTeresa/	C:/My%20Web%20Sites/Mentorship/mentorcruise.com/mentor/JakeStaTeresa/index.html	(from )
17:07:33	4657/4657	---M--	200	added ('OK')	image/png	etag:%223da7eaae900f17a5418248df5af46145%22	https://cdn.mentorcruise.com/img/favicons/apple-touch-icon.png	C:/My%20Web%20Sites/Mentorship/cdn.mentorcruise.com/img/favicons/apple-touch-icon.png	(from https://mentorcruise.com/mentor/JakeStaTeresa/)
17:07:35	1749/1749	---M--	200	added ('OK')	image/png	etag:%22e1a758b29d6346bba88a0ef8ce77b27c%22	https://cdn.mentorcruise.com/img/favicons/favicon-32x32.png	C:/My%20Web%20Sites/Mentorship/cdn.mentorcruise.com/img/favicons/favicon-32x32.png	(from https://mentorcruise.com/mentor/JakeStaTeresa/)
17:07:36	1125/1125	---M--	200	added ('OK')	image/png	etag:%22adc0a0296ca03fde2d843d902299e2b8%22	https://cdn.mentorcruise.com/img/favicons/favicon-16x16.png	C:/My%20Web%20Sites/Mentorship/cdn.mentorcruise.com/img/favicons/favicon-16x16.png	(from https://mentorcruise.com/mentor/JakeStaTeresa/)
17:07:40	27466/27466	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:54%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	C:/My%20Web%20Sites/Mentorship/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	(from https://mentorcruise.com/mentor/JakeStaTeresa/)
17:07:43	14170/14170	---MCZ	200	added ('OK')	text/css	etag:W/%2203db377669187e84caa7b68746ef2c23%22	https://cdn.mentorcruise.com/css/mentorcruise.css	C:/My%20Web%20Sites/Mentorship/cdn.mentorcruise.com/css/mentorcruise.css	(from https://mentorcruise.com/mentor/JakeStaTeresa/)
17:07:43	164695/164695	---MCZ	200	added ('OK')	text/css	etag:W/%22bc39193298c2e4e04247f2561a085197%22	https://cdn.mentorcruise.com/css/bulma.css	C:/My%20Web%20Sites/Mentorship/cdn.mentorcruise.com/css/bulma.css	(from https://mentorcruise.com/mentor/JakeStaTeresa/)
17:07:51	11583/11583	---MCZ	200	added ('OK')	text/css	etag:W/%22a13fc088d43be8a5f14ed5bb76ae7f6e%22	https://cdn.mentorcruise.com/css/mentorcruise-v2.0.0.css	C:/My%20Web%20Sites/Mentorship/cdn.mentorcruise.com/css/mentorcruise-v2.0.0.css	(from https://mentorcruise.com/mentor/JakeStaTeresa/)
17:07:51	10038/10038	---MCZ	200	added ('OK')	text/css	etag:W/%22bec6a708bff3ab947660263f3b4cd3d5%22	https://cdn.mentorcruise.com/css/styles.css	C:/My%20Web%20Sites/Mentorship/cdn.mentorcruise.com/css/styles.css	(from https://mentorcruise.com/mentor/JakeStaTeresa/)
